player,season,event,place
,,,
Dominic Bartram,2023,Open Swiss,1st
Adrian Elwin,2023,Open Swiss,2nd
Andrew Bowler,2023,Open Swiss,3rd
,,,
George Ward,2023,U1800 Swiss,1st
Dave Wells,2023,U1800 Swiss,2nd
Dave Phillips,2023,U1800 Swiss,=3rd
Dominic Watson,2023,U1800 Swiss,=3rd
,,,
Eoin Tweeddale,2023,Club Championship,=1st
Graham Smith,2023,Club Championship,=1st
Adrian Elwin,2023,Club Championship,3rd
,,,
Eoin Tweeddale,2023,Open Knockout,1st
Alan Heath,2023,Open Knockout,2nd
,,,
Colin Solloway,2023,U1800 Knockout,1st
David Phillips,2023,U1800 Knockout,2nd
Dave Wells,2023,U1800 Knockout Plate,1st
Steven Wayne,2023,U1800 Knockout Plate,1st
,,,
John McNamara,2023,U1400 Swiss,1st
Mikhail Korzun,2023,U1400 Swiss,=2nd
Ashish Ganatra,2023,U1400 Swiss,=2nd
David Phillips,2023,U1400 Swiss,=2nd
Bosko Bauk,2023,U1400 Swiss,=2nd
,,,
Eoin Tweeddale,2023,All-play-all Blitz,1st
Adrian Elwin,2023,All-play-all Blitz,=2nd
Andrew Bowler,2023,All-play-all Blitz,=2nd
